t [s],a [m/s^2],v [km/h],d [km],Pel [kW],FT [kN],E [kWh],I [A],R0 [N/kN],R0 [kN],Re [kN],R [kN]
730,-0.2585231862982711,82.52001975654035,25.00805928899412,-158.04408099961415,-18.979616935611922,247.17827260058166,-53.81905935431892,2.893559862745454,8.783992696355758,7.9506175182711685,16.734610214626926
731,-0.2585231862982711,81.58933628586658,25.03085225511112,-154.61394178626006,-19.006929197275543,247.13437146697066,-52.681360333204715,2.863569831695965,8.692951824143686,7.9506175182711685,16.643569342414857
732,-0.2585231862982711,80.65865281519281,25.053386698041823,-151.16695262894808,-19.033931676839106,247.0914231498078,-51.53798059542002,2.8339199546371536,8.602943558931806,7.9506175182711685,16.553561077202975
733,-0.2585231862982711,79.72796934451904,25.07566261778623,-147.70330573373138,-19.060624374302613,247.0494323296331,-50.388984209649365,2.8046102315690216,8.513967900720123,7.9506175182711685,16.464585418991295
734,-0.2585231862982711,78.79728587384527,25.097680014344334,-144.22319330666335,-19.087007289666058,247.00840363359595,-49.234435244577135,2.7756406624915684,8.426024849508638,7.9506175182711685,16.376642367779805
735,-0.2585231862982711,77.8666024031715,25.11943888771614,-140.72680755379736,-19.113080422929446,246.9683416354552,-48.07439776888778,2.7470112474047936,8.339114405297346,7.9506175182711685,16.289731923568514
736,-0.2585231862982711,76.93591893249773,25.14093923790165,-137.21434068118674,-19.138843774092773,246.92925085557914,-46.90893585126578,2.718721986308697,8.253236568086251,7.9506175182711685,16.20385408635742
737,-0.2585231862982711,76.00523546182396,25.162181064900864,-133.685984894885,-19.164297343156043,246.89113576094547,-45.738113560395576,2.690772879203279,8.168391337875352,7.9506175182711685,16.11900885614652
738,-0.2585231862982711,75.07455199115019,25.183164368713776,-130.14193240094528,-19.189441130119253,246.85400076514134,-44.56199496496166,2.66316392608854,8.08457871466465,7.9506175182711685,16.035196232935817
739,-0.2585231862982711,74.14386852047642,25.20388914934039,-134.74141535458034,-19.709470226685465,246.81785022836328,-43.38064413364843,2.6358951269644786,8.00179869845414,6.299967212594313,14.301765911048452
740,-0.2585231862982711,73.21318504980265,25.224355406780706,-131.06413053316788,-19.733994449448556,246.78042205743145,-44.913805118193444,2.6089664818310956,7.920051289243827,6.299967212594313,14.220018501838142
741,-0.2585231862982711,72.28250157912888,25.244563141034725,-127.37172562227761,-19.75820889011159,246.74401535450556,-43.688043511055966,2.582377990688392,7.8393364870337106,6.299967212594313,14.139303699628025
742,-0.2585231862982711,71.3518181084551,25.264512352102443,-123.66439282796296,-19.78211354867457,246.7086343196105,-42.45724187409253,2.5561296535363667,7.759654291823791,6.299967212594313,14.059621504418104
743,-0.2585231862982711,70.42113463778134,25.284203039983865,-119.94232435627714,-19.805708425137485,246.67428309938052,-41.22146427598766,2.5302214703750194,7.681004703614065,6.299967212594313,13.980971916208379
744,-0.2585231862982711,69.49045116710757,25.30363520467899,-116.2057124132736,-19.828993519500347,246.64096578705932,-39.980774785425716,2.504653441204351,7.603387722404536,6.299967212594313,13.90335493499885
745,-0.2585231862982711,68.5597676964338,25.322808846187815,-112.45474920500567,-19.851968831763145,246.60868642250009,-38.7352374710912,2.479425566024361,7.526803348195202,6.299967212594313,13.826770560789514
746,-0.2585231862982711,67.62908422576002,25.34172396451034,-108.68962693752667,-19.874634361925885,246.57744899216536,-37.484916401668556,2.45453784483505,7.4512515809860655,6.299967212594313,13.751218793580378
747,-0.2585231862982711,66.69840075508625,25.36038055964657,-104.9105378168901,-19.896990109988568,246.54725742912714,-36.22987564584222,2.429990277636417,7.376732420777123,6.299967212594313,13.676699633371436
748,-0.2585231862982711,65.76771728441248,25.3787786315965,-101.11767404914912,-19.919036075951194,246.5181156130669,-34.9701792722967,2.4057828644284625,7.303245867568376,6.299967212594313,13.603213080162687
749,-0.2585231862982711,64.83703381373871,25.39691818036013,-97.31122784035728,-19.94077225981376,246.49002737027547,-33.705891349716374,2.3819156052111867,7.230791921359825,6.299967212594313,13.53075913395414
750,-0.2585231862982711,63.90635034306494,25.414799205937467,-93.49139139656779,-19.962198661576267,246.46299647365313,-32.437075946785754,2.3583884999845894,7.15937058215147,6.299967212594313,13.459337794745785
751,-0.2585231862982711,62.97566687239117,25.4324217083285,-89.65835692383405,-19.983315281238713,246.43702664270964,-31.163797132189263,2.33520154874867,7.088981849943308,6.299967212594313,13.388949062537622
752,-0.2585231862982711,62.0449834017174,25.449785687533236,-85.81231662820943,-20.004122118801103,246.41212154356413,-29.886118974611346,2.31235475150343,7.019625724735347,6.299967212594313,13.319592937329661
753,-0.2585231862982711,61.11429993104363,25.466891143551674,-81.95346271574721,-20.02461917426343,246.38828478894519,-28.604105542736477,2.2898481082488686,6.951302206527579,6.299967212594313,13.251269419121893
754,-0.2585231862982711,60.18361646036986,25.483738076383815,-78.08198739250093,-20.044806447625703,246.3655199381908,-27.31782090524907,2.267681618984985,6.884011295320006,6.299967212594313,13.183978507914318
755,-0.2585231862982711,59.25293298969609,25.500326486029657,-74.19808286452383,-20.064683938887917,246.34383049724843,-26.027329130833643,2.24585528371178,6.81775299111263,6.299967212594313,13.117720203706943
756,-0.2585231862982711,58.32224951902232,25.516656372489205,-70.30194133786927,-20.084251648050074,246.32321991867497,-24.732694288174606,2.224369102429254,6.752527293905448,6.299967212594313,13.052494506499762
757,-0.2585231862982711,57.391566048348544,25.532727735762453,-66.39375501859053,-20.103509575112167,246.30369160163667,-23.433980445956422,2.203223075137406,6.688334203698463,6.299967212594313,12.988301416292776
758,-0.2585231862982711,56.46088257767477,25.548540575849398,-62.47371611274107,-20.122457720074205,246.28524889190928,-22.13125167286351,2.182417201836236,6.625173720491673,6.299967212594313,12.925140933085986
759,-0.2585231862982711,55.53019910700099,25.564094892750045,-58.54201682637418,-20.14109608293618,246.26789508187795,-20.824572037580356,2.1619514825257458,6.56304584428508,6.299967212594313,12.863013056879394
760,-0.2585231862982711,54.59951563632721,25.579390686464397,-54.598849365543316,-20.1594246636981,246.2516334105373,-19.514005608791393,2.1418259172059333,6.5019505750786815,6.299967212594313,12.801917787672995
761,-0.2585231862982711,53.668832165653434,25.59442795699245,-50.64440593630175,-20.17744346235996,246.23646706349132,-18.199616455181108,2.1220405058767993,6.4418879128724775,6.299967212594313,12.741855125466792
762,-0.2585231862982711,52.73814869497966,25.609206704334206,-46.678878744702956,-20.195152478921766,246.22239917295346,-16.881468645433916,2.102595248538344,6.382857857666472,6.299967212594313,12.682825070260783
763,-0.2585231862982711,51.80746522430588,25.623726928489663,-42.702459996800116,-20.212551713383508,246.2094328177466,-15.559626248234318,2.083490145190567,6.324860409460659,6.299967212594313,12.624827622054973
764,-0.2585231862982711,50.87678175363211,25.63798862945882,-38.71534189864667,-20.229641165745193,246.19757102330306,-14.234153332266704,2.064725195833469,6.267895568255045,6.299967212594313,12.567862780849358
765,-0.2585231862982711,49.94609828295833,25.65199180724168,-34.71771665629595,-20.246420836006816,246.18681676166455,-12.905113966215557,2.046300400467049,6.211963334049624,6.299967212594313,12.511930546643937
766,-0.2585231862982711,49.015414812284554,25.665736461838243,-30.70977647580139,-20.262890724168386,246.17717295148225,-11.572572218765316,2.028215759091308,6.1570637068444,6.299967212594313,12.457030919438713
767,-0.2585231862982711,48.08473134161078,25.679222593248504,-26.69171356321627,-20.27905083022989,246.16864245801673,-10.236592158600464,2.010471271706245,6.103196686639372,6.299967212594313,12.403163899233684
768,-0.2585231862982711,47.154047870937,25.69245020147247,-22.663720124594022,-20.294901154191344,246.16122809313805,-8.897237854405423,1.9930669383118607,6.050362273434539,6.299967212594313,12.350329486028851
